expand href,column-occurred,column-city,column-state,column-country,column-shape,column-summary,column-reported,column-hasimage,column-explanation
https://nuforc.org/sighting/?id=190472,06/25/2025 03:00,Shanghai,Shanghai,China,Star,High Altitude Objects Flying Hypersonic Speeds,06/24/2025,Y,
https://nuforc.org/sighting/?id=190434,06/22/2025 19:45,Harrison Township,MI,USA,Orb,Something electronic like a small drone with the body and movement of an extremely large flying insect emerges from river.,06/23/2025,,
https://nuforc.org/sighting/?id=190195,06/14/2025 15:30,Meridian,ID,USA,Disk,"I saw a dull black huge disc shaped with another layer of craft under that, but connected. Spires high up from the top & bottom.",06/17/2025,Y,
https://nuforc.org/sighting/?id=190100,06/04/2025 18:59,Colorado Springs,CO,USA,Cigar,Large cigar shaped ufo was incredibly shocking to see,06/04/2025,Y,
https://nuforc.org/sighting/?id=189744,05/19/2025 21:57,Johnstown,CO,USA,Orb,Bright white light seen overhead traveling very fast southbound directly over I25. Object was being persued by blackhawk helicopter.,05/19/2025,Y,
https://nuforc.org/sighting/?id=189687,05/17/2025 22:30,Oak Hill,FL,USA,Triangle,Huge triangle craft with escorts flew silently over my property before disappearing.,05/18/2025,,
https://nuforc.org/sighting/?id=189804,05/16/2025 23:00,Los Olivos,CA,USA,Unknown,I saw a huge glowing object I thought it had to be winery sign but was too huge and high in sky mother ship fading in/out of sight.,05/23/2025,,
https://nuforc.org/sighting/?id=189548,05/11/2025 19:15,Minneapolis,MN,USA,Changing,"An hour before sunset, a black and silver (reflective) rhombus-shaped craft appeared over the lake area. It was hovering and rotating",05/12/2025,,
https://nuforc.org/sighting/?id=189482,05/07/2025 23:20,North Richland Hills,TX,USA,Triangle,Large black triangle shaped object the size of a football field with pale green lights.,05/08/2025,,
https://nuforc.org/sighting/?id=189472,05/07/2025 02:49,Shermans Dale,PA,USA,Orb,"Bright light shining out of our woods, then moved over my mother-in-laws house (our neighbor).",05/08/2025,Y,
https://nuforc.org/sighting/?id=189386,05/05/2025 08:30,Houma,LA,USA,Teardrop,Clearly witnessed a tear shaped ufo over our airbase,05/05/2025,,
https://nuforc.org/sighting/?id=189333,05/02/2025 20:30,Painted Post,NY,USA,Disk,"black disk, no lights",05/02/2025,Y,
https://nuforc.org/sighting/?id=189362,05/02/2025 03:15,Holladay,UT,USA,Unknown,I was woken up somehow but felt glued to my bed and witnessed 2 maybe 3 little beings behind not even a foot tall at the base of my bed,05/03/2025,,
https://nuforc.org/sighting/?id=189797,04/30/2025 20:09,Dunnellon,FL,USA,Other,V shaped spacecraft flew over my house.,05/22/2025,Y,
https://nuforc.org/sighting/?id=189219,04/27/2025 23:30,Auburndale,WI,USA,Teardrop,I was on the highway driving and looked to my left and their was a huge machine like thing with lights hovering,04/28/2025,,
https://nuforc.org/sighting/?id=189030,04/17/2025 22:05,Pornic,Pays de la Loire,France,Triangle,Three large red lights in a triangle and a single entity.,04/18/2025,,
https://nuforc.org/sighting/?id=189679,04/15/2025 02:00,Searcy,AR,USA,Unknown,"I felt uneasy as I was driving, my vehicle started driving slower than the set cc setting, flew faster than my eyes could keep up with.",05/17/2025,,
https://nuforc.org/sighting/?id=188877,04/12/2025 21:15,Greater Sudbury,ON,Canada,Changing,Orange object was half transparent on the top and more soild on the bottom. It also flashed extremely bright when it first appeared,04/12/2025,Y,
https://nuforc.org/sighting/?id=189105,04/09/2025 23:56,Grand Rapids,MI,USA,Unknown,"Very bright light outside window, went outside and saw a very large, silent patch of black.",04/22/2025,,
https://nuforc.org/sighting/?id=188813,04/04/2025 21:00,Porterville,CA,USA,Other,"Octahedron, dark metallic, 600-900ft away, followed parallel w vehicle at same speed, turned 90 degrees away, no lights or sounds.",04/09/2025,Y,
https://nuforc.org/sighting/?id=189631,04/02/2025 14:30,Schuylerville,NY,USA,Sphere,"I saw a 25-30' bubble with red, white and yellow swirling colors, clear near left/bottom, hovering by treeline",05/15/2025,,
https://nuforc.org/sighting/?id=188755,03/28/2025 01:30,Lakewood,CO,USA,Triangle,"A large triangular craft with an X shaped cross structure passed overhead, followed by a helicopter sweeping the sky with a spotlight.",04/07/2025,Y,
https://nuforc.org/sighting/?id=188614,03/27/2025 05:12,Allenwood,PA,USA,Triangle,"Saw narrow triangle rising in the sky, triangle shitted to horizontal position and moved NE, moved to front deck to see it leaving.",03/29/2025,,
